query	cost
select t3 sum case when t3 in then else end sum from select c14 c15 c14 t3 t2 t5 t3 t3 t4 t8 t7 t1 where c10 c38 and c11 c47 and c9 c29 and c30 c1 and c4 and c59 and c60 and c50 and c33 date and date and c42 group by t3 order by t3 desc	100000
select c54 sum c57 c56 from t2 t3 t8 t6 where c55 c47 and c25 c50 and c26 and c49 in and c19 date group by c54 having sum c56 c57 select sum c56 c57 from t3 t8 t6 where c55 c47 and c25 c50 and c26 order by desc	000111
select c54 sum c56 c57 from t8 t3 t2 t6 where c55 c47 and c25 c50 and c26 and c49 in and c19 date and c15 and group by c54 having sum c56 c57 select sum c57 c56 from t8 t6 t3 where c47 c55 and c25 c50 and c26 order by desc	111111
select sum case when c42 like then c14 c15 else end sum c19 c14 c15 from t2 t5 where c38 c10 and c19 date and c19 date month group by c19	111111
select sum case when c42 like then c15 c14 else end sum c15 c19 c14 from t5 t2 where c38 c10 and c19 date and c19 date month and c23 in group by c19	111111
select c2 c1 c26 sum c15 c14 from t4 t2 t1 t3 where c30 c1 and c29 c9 and c17 and c19 date group by c1 c6 c26 c2 c5 order by asc	110000
select c2 c26 c1 sum c15 c14 from t3 t4 t2 t1 where c1 c30 and c29 c9 and c17 and c19 date and c26 in group by c2 c6 c26 c1 c5 order by asc	111110
select c1 c2 c26 sum c15 c14 from t3 t1 t2 t4 where c30 c1 and c29 c9 and c17 and c19 date and c26 in and c13 group by c6 c5 c26 c1 c2 order by asc	111111
select c1 c26 c2 sum c15 c14 from t3 t4 t1 t2 where c30 c1 and c9 c29 group by c5 c6 c26 c1 c2 order by asc	111111
select c9 c23 sum case when c34 or c34 then else end sum case when c34 and c34 then else end from t2 t4 where c29 c9 and c23 in and c21 c20 and c20 c19 and c21 date and c21 date year group by c23 c9 order by c9 asc c23 desc limit	111000
select c23 c9 sum case when c34 or c34 then else end sum case when c34 and c34 then else end from t4 t2 where c9 c29 and c23 in and c20 c21 and c21 date and c21 date year group by c23 c9 order by c9 asc c23 desc limit	110000
select c23 c9 sum case when c34 or c34 then else end sum case when c34 and c34 then else end from t2 t4 where c29 c9 and c33 date and c23 in and c21 c20 and c21 date and c21 date year group by c23 c9 order by c9 asc c23 desc limit	11111
